songID,name,artists,link,popularity,danceability,energy,acousticness,instrumentalness,liveness,valence,genres,genre_EDM,genre_country,genre_indie,genre_metal,genre_pop,genre_pop-punk,genre_rap,genre_rock,genre_singer-songwriter,genre_soul
7DSAEUvxU8FajXtRloy8M0,Flowers,Miley Cyrus,https://open.spotify.com/track/7DSAEUvxU8FajXtRloy8M0,90,0.706,0.691,0.0584,6.99E-05,0.0232,0.632,"pop, rock",0,0,0,0,1,0,0,1,0,0
2qSkIjg1o9h3YT9RAgYN75,Espresso,Sabrina Carpenter,https://open.spotify.com/track/2qSkIjg1o9h3YT9RAgYN75,100,0.701,0.76,0.107,6.54E-05,0.185,0.69,pop,0,0,0,0,1,0,0,0,0,0
4Dvkj6JhhA12EX05fT7y2e,As It Was,Harry Styles,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e,92,0.52,0.731,0.342,0.00101,0.311,0.662,"pop, rock, indie",0,0,1,0,1,0,0,1,0,0
46kspZSY3aKmwQe7O77fCC,we can't be friends (wait for your love),Ariana Grande,https://open.spotify.com/track/46kspZSY3aKmwQe7O77fCC,89,0.645,0.646,0.0615,3.04E-05,0.074,0.295,pop,0,0,0,0,1,0,0,0,0,0
3rUGC1vUpkDG9CZFHMur1t,greedy,Tate McRae,https://open.spotify.com/track/3rUGC1vUpkDG9CZFHMur1t,93,0.749,0.729,0.261,0,0.113,0.816,pop,0,0,0,0,1,0,0,0,0,0
6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,Kendrick Lamar,https://open.spotify.com/track/6AI3ezQ4o3HUoP6Dhudph3,98,0.898,0.472,0.0107,0,0.141,0.214,rap,0,0,0,0,0,0,1,0,0,0
3eh51r6rFWAlGQRlHx9QnQ,Push Ups,Drake,https://open.spotify.com/track/3eh51r6rFWAlGQRlHx9QnQ,88,0.598,0.696,0.0153,0,0.219,0.209,rap,0,0,0,0,0,0,1,0,0,0
2aPTvyE09vUCRwVvj0I8WK,Sundress,A$AP Rocky,https://open.spotify.com/track/2aPTvyE09vUCRwVvj0I8WK,86,0.721,0.707,0.181,3.68E-06,0.143,0.743,"indie, pop, rap",0,0,1,0,1,0,1,0,0,0
4EWCNWgDS8707fNSZ1oaA5,Heartless,Kanye West,https://open.spotify.com/track/4EWCNWgDS8707fNSZ1oaA5,86,0.79,0.647,0.0515,0,0.248,0.654,"rap, pop, soul, rock",0,0,0,0,1,0,1,1,0,1
7iL6o9tox1zgHpKUfh9vuC,In Da Club,50 Cent,https://open.spotify.com/track/7iL6o9tox1zgHpKUfh9vuC,82,0.899,0.713,0.255,0,0.0708,0.777,"rap, pop, indie, rock",0,0,1,0,1,0,1,1,0,0
1JSTJqkT5qHq8MDJnJbRE1,Every Breath You Take,The Police,https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1,88,0.82,0.452,0.543,0.00294,0.0714,0.74,"rock, pop, indie",0,0,1,0,1,0,0,1,0,0
3dPQuX8Gs42Y7b454ybpMR,Seven Nation Army,The White Stripes,https://open.spotify.com/track/3dPQuX8Gs42Y7b454ybpMR,87,0.743,0.446,0.0039,0.118,0.337,0.278,"rock, indie, pop, metal",0,0,1,1,1,0,0,1,0,0
2zYzyRzz6pRmhPzyfMEC8s,Highway to Hell,AC/DC,https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s,86,0.574,0.913,0.061,0.00158,0.156,0.423,"rock, metal",0,0,0,1,0,0,0,1,0,0
